ID,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,city,median_income_range,Housevalue_Range,Housing_Age_range,Residents,block
0,-114.31,34.19,15,5612,1283,1015,472,1.4936,66900,Adelanto,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R0,Block 0
1,-114.47,34.4,19,7650,1901,1129,463,1.82,80100,Agoura Hills,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R1,Block 1
2,-114.56,33.69,17,720,174,333,117,1.6509,85700,Alameda,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R2,Block 2
3,-114.57,33.64,14,1501,337,515,226,3.1917,73400,Albany,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R3,Block 3
4,-114.57,33.57,20,1454,326,624,262,1.925,65500,Alhambra,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R4,Block 4
5,-114.58,33.63,29,1387,236,671,239,3.3438,74000,Aliso Viejo,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R5,Block 5
6,-114.58,33.61,25,2907,680,1841,633,2.6768,82400,Alturas,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R6,Block 6
7,-114.59,34.83,41,812,168,375,158,1.7083,48500,Amador City,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,37.0 < Housing_Age < 52.0 ,R7,Block 7
8,-114.59,33.61,34,4789,1175,3134,1056,2.1782,58400,American Canyon,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R8,Block 8
9,-114.6,34.83,46,1497,309,787,271,2.1908,48100,Anaheim,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,37.0 < Housing_Age < 52.0 ,R9,Block 9
10,-114.6,33.62,16,3741,801,2434,824,2.6797,86500,Anderson,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R10,Block 10
11,-114.6,33.6,21,1988,483,1182,437,1.625,62000,Angels,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R11,Block 11
12,-114.61,34.84,48,1291,248,580,211,2.1571,48600,Antioch,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,37.0 < Housing_Age < 52.0 ,R12,Block 12
13,-114.61,34.83,31,2478,464,1346,479,3.212,70400,Arcadia,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R13,Block 13
14,-114.63,32.76,15,1448,378,949,300,0.8585,45000,Arcata,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R14,Block 14
15,-114.65,34.89,17,2556,587,1005,401,1.6991,69100,Arroyo Grande,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R15,Block 15
16,-114.65,33.6,28,1678,322,666,256,2.9653,94900,Artesia,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R16,Block 16
17,-114.65,32.79,21,44,33,64,27,0.8571,25000,Arvin,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R17,Block 17
18,-114.66,32.74,17,1388,386,775,320,1.2049,44000,Atascadero,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R18,Block 18
19,-114.67,33.92,17,97,24,29,15,1.2656,27500,Atwater,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R19,Block 19
20,-114.68,33.49,20,1491,360,1135,303,1.6395,44400,Auburn,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R20,Block 20
21,-114.73,33.43,24,796,243,227,139,0.8964,59200,Avalon,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R21,Block 21
22,-114.94,34.55,20,350,95,119,58,1.625,50000,Avenal,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R22,Block 22
23,-114.98,33.82,15,644,129,137,52,3.2097,71300,Azusa,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R23,Block 23
24,-115.22,33.54,18,1706,397,3424,283,1.625,53500,Bakersfield,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R24,Block 24
25,-115.32,32.82,34,591,139,327,89,3.6528,100000,Baldwin Park,3.5446 < income <= 4.767 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R25,Block 25
26,-115.37,32.82,30,1602,322,1130,335,3.5735,71100,Banning,3.5446 < income <= 4.767 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R26,Block 26
27,-115.37,32.82,14,1276,270,867,261,1.9375,80900,Banning,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R27,Block 27
28,-115.37,32.81,32,741,191,623,169,1.7604,68600,Beaumont,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R28,Block 28
